"0404010121 EXERESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOCO",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0404020119 EXCISAO PARCIAL DE LABIO COM ENXERTO LIVRE / ROTACAO DE RETALHO,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL),2,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
0406020574 TRATAMENTO CIRURGICO DE VARIZES (UNILATERAL),12,173,99,110,35,-,-,-,-,-,-,-,-,-,-,-
0406020590 TROMBECTOMIA DO SISTEMA VENOSO,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
0407020039 APENDICECTOMIA,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0407020225 EXCISAO DE LESAO / TUMOR ANU-RETAL,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL,4,5,9,8,5,-,-,-,-,-,-,-,-,-,-,-
0407020284 HEMORROIDECTOMIA,14,19,12,9,4,-,4,4,-,-,-,-,-,-,-,-
0407020470 TRATAMENTO CIRURGICO DE PROLAPSO ANAL,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0407030026 COLECISTECTOMIA,74,76,70,70,53,-,-,-,-,-,-,-,-,-,-,-
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
0407040064 HERNIOPLASTIA EPIGASTRICA,55,20,18,68,57,-,6,6,4,-,-,-,-,-,-,-
0407040080 HERNIOPLASTIA INCISIONAL,20,18,43,30,45,-,12,20,13,-,-,-,-,-,-,-
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),97,76,86,79,59,-,31,19,28,-,-,-,-,-,-,-
0407040129 HERNIOPLASTIA UMBILICAL,109,56,83,75,112,-,71,79,88,-,-,-,-,-,-,-
0407040161 LAPAROTOMIA EXPLORADORA,-,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-
0407040226 REPARACAO DE OUTRAS HERNIAS,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-
0408050080 FASCIOTOMIA DE MEMBROS INFERIORES,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409010430 TRATAMENTO CIRURGICO DE CISTOCELE,-,19,13,-,1,-,-,1,1,-,-,-,-,-,-,-
0409020079 MEATOTOMIA SIMPLES,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0409040037 EPIDIDIMECTOMIA,1,2,1,6,5,-,1,-,-,-,-,-,-,-,-,-
0409040088 EXERESE DE LESAO DO CORDAO ESPERMATICO,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409040134 ORQUIDOPEXIA UNILATERAL,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE,11,8,3,9,5,-,5,1,-,-,-,-,-,-,-,-
0409040231 TRATAMENTO CIRURGICO DE VARICOCELE,6,6,8,4,4,-,3,3,-,-,-,-,-,-,-,-
0409050083 POSTECTOMIA,27,16,19,27,44,-,9,3,2,-,-,-,-,-,-,-
0409060020 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR C/ AMPUTACAO DE COLO,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
0409060038 EXCISAO TIPO 3 DO COLO UTERINO,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0409060100 HISTERECTOMIA (POR VIA VAGINAL),3,2,3,1,3,-,-,-,-,-,-,-,-,-,-,-
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL),27,39,51,52,42,-,1,-,-,-,-,-,-,-,-,-
0409060135 HISTERECTOMIA TOTAL,56,58,44,42,30,-,6,4,-,-,-,-,-,-,-,-
0409060143 HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409060194 MIOMECTOMIA,2,3,4,4,3,-,7,-,1,-,-,-,-,-,-,-
0409060216 OOFORECTOMIA / OOFOROPLASTIA,10,9,13,18,15,-,5,1,3,-,-,-,-,-,-,-
0409060232 SALPINGECTOMIA UNI / BILATERAL,-,3,1,2,1,-,-,1,-,-,-,-,-,-,-,-
0409070025 COLPECTOMIA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR,90,41,41,67,34,-,25,29,22,-,-,-,-,-,-,-
0409070106 COLPOTOMIA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409070149 EXERESE DE CISTO VAGINAL,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE,3,6,16,12,11,-,6,1,1,-,-,-,-,-,-,-
0409070203 OPERACAO DE BURCH,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409070211 RECONSTRUCAO DA VAGINA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0409070246 TRATAMENTO CIRURGICO DE FISTULA URETRO-VAGINAL,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0409070270 TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0410010014 DRENAGEM DE ABSCESSO DE MAMA,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0410010065 MASTECTOMIA SIMPLES,8,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
0410010073 PLASTICA MAMARIA FEMININA NAO ESTETICA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0411010034 PARTO CESARIANO,11,75,118,155,66,-,131,179,461,-,-,-,-,-,-,-
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-
0413010082 TRATAMENTO DE MEDIO QUEIMADO,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,1,14,19,28,10,-,-,-,-,-,-,-,-,-,-,-
